window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
30,30,1,500,0.001,0.0005561751895584166
30,30,1,1000,0.01,0.00011605099280131981
30,30,1,1000,0.05,9.456189582124352e-05
30,30,1,1000,0.001,0.0002842754765879363
30,30,1,1500,0.01,0.00010014891449827701
30,30,1,1500,0.05,9.929551742970943e-05
30,30,1,1500,0.001,0.00023966147273313254
30,30,2,500,0.01,8.693255222169682e-05
30,30,2,500,0.05,0.00010105167893925682
30,30,2,500,0.001,0.00042990941437892616
30,30,2,1000,0.01,0.00011952750355703756
30,30,2,1000,0.05,0.00010969558934448287
30,30,2,1000,0.001,0.00024925594334490597
30,30,2,1500,0.01,9.608974505681545e-05
30,30,2,1500,0.05,0.00016519299242645502
30,30,2,1500,0.001,0.00020805784151889384
30,30,3,500,0.01,0.00012536569556687027
30,30,3,500,0.05,0.00012358777166809887
30,30,3,500,0.001,0.0005347871338017285
30,30,3,1000,0.01,0.00011082887795055285
30,30,3,1000,0.05,9.292996401200071e-05
30,30,3,1000,0.001,0.0002179329312639311
30,30,3,1500,0.01,9.754591883393005e-05
30,30,3,1500,0.05,8.271385740954429e-05
30,30,3,1500,0.001,0.0001506097032688558
30,40,1,500,0.01,0.00013124322867952287
30,40,1,500,0.05,0.00011670919047901407
30,40,1,500,0.001,0.0004612164048012346
30,40,1,1000,0.01,0.00011211078526685014
30,40,1,1000,0.05,9.23850093386136e-05
30,40,1,1000,0.001,0.0002869721793103963
30,40,1,1500,0.01,9.725811833050102e-05
30,40,1,1500,0.05,0.00010315913095837459
30,40,1,1500,0.001,0.00021513253159355372
30,40,2,500,0.01,0.00011526812158990651
30,40,2,500,0.05,0.0005292454152368009
30,40,2,500,0.001,0.0003712755860760808
30,40,2,1000,0.01,9.967394726118073e-05
30,40,2,1000,0.05,8.707737288204953e-05
30,40,2,1000,0.001,0.00024003414728213102
30,40,2,1500,0.01,0.003665732219815254
30,40,2,1500,0.05,0.00010960420331684873
30,40,2,1500,0.001,0.0001893494336400181
30,40,3,500,0.01,9.347790910396725e-05
30,40,3,500,0.05,0.0009698654757812619
30,40,3,500,0.001,0.00034494372084736824
30,40,3,1000,0.01,0.00010735630348790437
30,40,3,1000,0.05,0.0004953232128173113
30,40,3,1000,0.001,0.00018732437456492335
30,40,3,1500,0.01,0.00010139622463611886
30,40,3,1500,0.05,0.0006013770471327007
30,40,3,1500,0.001,0.00014976123929955065
40,20,1,500,0.01,0.00015441466530319303
40,20,1,500,0.05,0.00010000120528275147
40,20,1,500,0.001,0.0009710088488645852
40,20,1,1000,0.01,0.00011658609582809731
40,20,1,1000,0.05,0.00013137968198861927
40,20,1,1000,0.001,0.0004142572288401425
40,20,1,1500,0.01,0.00010217312228633091
40,20,1,1500,0.05,8.642702596262097e-05
40,20,1,1500,0.001,0.00023236517154145986
40,20,2,500,0.01,0.00011104440636700019
40,20,2,500,0.05,0.00012694128963630646
40,20,2,500,0.001,0.0004504872194956988
40,20,2,1000,0.01,9.659812349127606e-05
40,20,2,1000,0.05,0.00010036931053036824
40,20,2,1000,0.001,0.00042757514165714383
40,20,2,1500,0.01,0.00010965285036945716
40,20,2,1500,0.05,9.77532981778495e-05
40,20,2,1500,0.001,0.0002536680258344859
40,20,3,500,0.01,0.00012764947314281017
40,20,3,500,0.05,0.0001174736098619178
40,20,3,500,0.001,0.0005531347705982625
40,20,3,1000,0.01,0.00010625700087985024
40,20,3,1000,0.05,0.00010772811947390437
40,20,3,1000,0.001,0.00028375486726872623
40,20,3,1500,0.01,0.00010679734259610996
40,20,3,1500,0.05,8.763586083659902e-05
40,20,3,1500,0.001,0.00015113005065359175
40,30,1,500,0.01,0.00012388404866214842
40,30,1,500,0.05,0.00011784474190790206
40,30,1,500,0.001,0.0004825209907721728
40,30,1,1000,0.01,0.00011312774586258456
40,30,1,1000,0.05,9.246291301678866e-05
40,30,1,1000,0.001,0.00026042849640361965
40,30,1,1500,0.01,0.00010415304132038727
40,30,1,1500,0.05,8.393282041652128e-05
40,30,1,1500,0.001,0.00027111751842312515
40,30,2,500,0.01,0.00012183953367639333
40,30,2,500,0.05,0.00012037138367304578
40,30,2,500,0.001,0.0004017722967546433
40,30,2,1000,0.01,0.0001064978787326254
40,30,2,1000,0.05,9.978972229873762e-05
40,30,2,1000,0.001,0.000250684010097757
40,30,2,1500,0.01,0.00010063964873552322
40,30,2,1500,0.05,0.00031870027305558324
40,30,2,1500,0.001,0.0001530852314317599
40,30,3,500,0.01,0.0001120506931329146
40,30,3,500,0.05,0.000131220105686225
40,30,3,500,0.001,0.0005091062630526721
40,30,3,1000,0.01,0.00011723965144483373
40,30,3,1000,0.05,9.9630793556571e-05
40,30,3,1000,0.001,0.0002312479045940563
40,30,3,1500,0.01,9.20551538001746e-05
40,30,3,1500,0.05,9.479964501224458e-05
40,30,3,1500,0.001,0.00012553497799672186
40,40,1,500,0.01,0.0001378609158564359
40,40,1,500,0.05,0.00011419269867474213
40,40,1,500,0.001,0.0005483986460603774
40,40,1,1000,0.01,0.00011554452794371173
40,40,1,1000,0.05,9.77437011897564e-05
40,40,1,1000,0.001,0.0002347177651245147
40,40,1,1500,0.01,9.74859794951044e-05
40,40,1,1500,0.05,9.194877202389762e-05
40,40,1,1500,0.001,0.000212360784644261
40,40,2,500,0.01,0.00012241152580827475
