window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
40,20,3,1500,0.001,0.00017703318735584617
40,30,1,500,0.01,9.652462176745757e-05
40,30,1,500,0.05,7.979122165124863e-05
40,30,1,500,0.001,0.0003296146751381457
40,30,1,1000,0.01,8.63982641021721e-05
40,30,1,1000,0.05,0.0021409913897514343
40,30,1,1000,0.001,0.00025694590294733644
40,30,1,1500,0.01,8.231213723775e-05
40,30,1,1500,0.05,9.768569725565612e-05
40,30,1,1500,0.001,0.00017961776757147163
40,30,2,500,0.01,8.989200432552025e-05
40,30,2,500,0.05,8.122682629618794e-05
40,30,2,500,0.001,0.0004552823957055807
40,30,2,1000,0.01,8.742087084101513e-05
40,30,2,1000,0.05,8.973774674814194e-05
40,30,2,1000,0.001,0.00022941466886550188
40,30,2,1500,0.01,7.691080827498809e-05
40,30,2,1500,0.05,8.910051838029176e-05
40,30,2,1500,0.001,0.00012976689322385937
40,30,3,500,0.01,8.54128084029071e-05
40,30,3,500,0.05,8.43604575493373e-05
40,30,3,500,0.001,0.0002577166014816612
40,30,3,1000,0.01,0.00014621119771618396
40,30,3,1000,0.05,9.779253741726279e-05
40,30,3,1000,0.001,0.00017723051132634282
40,30,3,1500,0.01,8.013253682292998e-05
40,30,3,1500,0.05,0.0001404017530148849
40,30,3,1500,0.001,0.00013084040256217122
40,40,1,500,0.01,9.245464752893895e-05
40,40,1,500,0.05,8.237158908741549e-05
40,40,1,500,0.001,0.0003113251004833728
40,40,1,1000,0.01,7.489379640901461e-05
40,40,1,1000,0.05,7.951005682116374e-05
40,40,1,1000,0.001,0.0001777683210093528
40,40,1,1500,0.01,9.045284241437912e-05
40,40,1,1500,0.05,0.0011976610403507948
40,40,1,1500,0.001,0.00016886602679733187
40,40,2,500,0.01,8.446849824395031e-05
40,40,2,500,0.05,9.307527216151357e-05
40,40,2,500,0.001,0.00033249298576265574
40,40,2,1000,0.01,8.597775740781799e-05
40,40,2,1000,0.05,9.155762381851673e-05
40,40,2,1000,0.001,0.0001925135584315285
40,40,2,1500,0.01,6.446545012295246e-05
40,40,2,1500,0.05,9.061656601261348e-05
40,40,2,1500,0.001,0.00015287524729501456
40,40,3,500,0.01,0.00023469077132176608
40,40,3,500,0.05,0.00456142146140337
40,40,3,500,0.001,0.00030192144913598895
40,40,3,1000,0.01,9.021285950439051e-05
40,40,3,1000,0.05,0.00023607649200130254
40,40,3,1000,0.001,0.0001341788738500327
40,40,3,1500,0.01,8.951352356234565e-05
40,40,3,1500,0.05,0.000421870150603354
40,40,3,1500,0.001,0.00011528133472893387
