Open_pred,High_pred,Low_pred,Close_pred,Open,High,Low,Close
320.35846,323.79642,317.88724,321.03735,302.54,304.68,301.62,303.81118881118886
320.15918,323.4991,317.66806,320.9321,302.16,305.04,301.4,303.51648351648356
322.4461,325.79205,320.24408,323.3927,303.86,308.73,302.71,308.0419580419581
322.5438,325.91888,320.07404,323.31906,308.14,311.63,306.6,307.972027972028
326.7102,330.0276,324.5335,327.74182,309.97,311.68,307.92,310.0399600399601
322.75006,326.29013,320.1571,323.36887,309.84,310.83,309.0,309.46553446553446
320.35587,323.81192,317.9459,321.01807,309.06,310.08,304.55,305.979020979021
321.45267,324.74637,319.4288,322.12183,302.89,303.27,295.81,301.34865134865134
320.0981,323.3204,317.9191,320.63397,303.39,304.45,301.8,302.2677322677323
316.19098,319.31793,314.01447,316.60162,303.88,304.61,302.04,302.43756243756246
315.25015,318.21954,313.24213,315.70465,302.84,304.81,298.88,299.00599400599407
314.40903,317.331,312.344,314.7504,298.88,302.37,298.51,301.4435564435565
312.8166,315.69675,310.7141,313.153,303.24,307.77,301.64,307.73726273726277
316.8921,319.5879,315.14825,317.5813,306.35,310.23,305.58,306.84315684315686
323.73563,326.665,321.8308,324.49612,307.15,310.59,306.27,309.4055944055944
311.90546,315.35526,308.7126,311.6478,309.29,311.79,308.87,311.3536463536464
303.26657,306.26306,300.46002,302.87912,310.4,317.45,309.46,315.80419580419584
305.8426,308.1826,303.62854,305.75833,314.28,316.84,312.46,315.5644355644356
303.46356,305.77017,300.94855,303.12183,316.12,322.49,315.07,318.7962037962038
300.78223,303.18207,297.97214,300.30182,318.06,323.19,314.32,321.8181818181818
299.1387,301.37207,296.4766,298.75687,322.09,323.04,319.25,320.09490509490513
298.0872,300.1828,295.59528,297.7445,321.3,323.53,318.58,323.4515484515485
300.5264,302.65033,298.08118,300.41205,322.31,325.53,321.2,322.3026973026973
303.9396,306.1711,301.52774,304.03915,324.8,328.07,324.32,326.6533466533467
306.61508,309.04486,304.07465,306.8444,325.5,327.07,320.95,322.99200799200804
306.09756,308.67804,303.47653,306.38504,324.66,325.52,319.3,319.4205794205795
