predicted,actual
334.70023,338.28882387502387
338.41486,338.09797290250447
338.32007,339.0120486129921
339.23642,334.30104302817136
334.69244,338.3239806331195
338.56796,343.71300940978534
343.82983,340.53885639314717
340.83173,342.2464703577943
342.4436,340.222445570286
340.5027,340.0617289618487
340.38602,349.4184490093123
349.4549,352.798520180511
352.85107,350.10149459517123
350.2038,345.8023253194713
345.97333,345.1494140976945
345.40057,352.74327384636064
352.86652,354.56640287332215
354.70087,354.7170746937322
354.8307,358.8705945430357
358.8982,363.49119703561036
363.4961,363.80258546445776
363.79654,366.7406859624536
366.70667,374.45006077343413
374.39096,374.3395681051335
374.24503,376.494175136997
376.4009,378.01596052313846
377.91803,377.01148172040484
376.96863,380.6577397743279
380.68542,378.2620578298082
378.2625,381.01935214331195
381.1296,383.80175842688413
383.90564,383.6008626663374
383.7003,378.68896132097
378.72293,371.7982367342173
371.92987,372.0342892528597
372.38803,375.49974112229074
375.93005,372.1297147391195
372.49747,370.24129458998027
370.59967,372.1046027690511
372.48346,377.508698727758
377.89978,347.213618037312
347.425,340.59410272729747
341.49387,339.0321381890467
340.02863,339.8759003833429
340.98224,338.34909260318784
339.31738,338.57510033380294
339.42645,337.2692778902492
338.07245,339.85078841327464
340.48682,343.50206886121134
343.96667,343.66780786366235
344.1004,341.18172282689665
341.62338,340.55894596920183
340.97812,333.2463402853011
333.89398,325.818219539086
326.71442,331.1972035277245
331.7536,332.6386306096473
333.213,329.20833549831195
329.9158,325.94880178344135
326.68185,323.30200013823827
324.09756,323.2618209861289
323.9954,333.7937812327909
333.9666,334.6777225791965
335.0069,332.6235634276062
333.0186,333.67324377646287
333.9571,330.25801584716856
330.7265,335.04435734219425
335.28656,341.5383128018671
341.59796,345.656675893075
345.69174,348.90114242590454
348.85944,347.33917788765376
347.35706,345.2247500078995
345.32678,343.6175839235257
343.8004,345.2749739480362
345.46945,341.8095220786052
342.1382,342.41220936024536
342.73468,348.15280571786803
348.32275,348.49432851079735
348.71512,351.07081663980915
351.21527,350.69915948279765
350.8411,360.12619304645267
360.12646,360.27184247284913
360.2696,359.7896926475369
359.80038,360.91470890659866
360.9022,357.5446825234273
357.64267,354.4759997810761
354.67792,354.15958895821495
354.4228,352.8688336967024
353.20715,349.7235092217025
350.13342,353.4112522501785
353.75534,361.36170197381506
361.57602,361.5726425223892
361.7539,368.73457638587985
368.79245,367.1223879074924
367.1104,366.3941407755105
366.4333,368.80991229608486
368.84674,370.4924142906637
370.57913,369.74407758262714
369.82532,361.36170197381506
361.47705,362.20546416811135
362.48117,357.32369718682594
357.68942,355.38505309755004
355.8708,351.9748475622694
352.48492,351.1561973380415
351.72272,370.502459078691
370.7362,376.8708546880222
377.02945,376.5996454112841
376.56616,375.1230615712656
374.95227,376.6046678052977
376.56674,376.6800037155028
376.7008,377.6091466080313
377.67688,387.5836211191762
387.72754,379.2765814205692
379.18134,382.64158540972676
382.7391,384.86148356376805
384.93915,386.75492610692095
386.93594,392.4754328884889
392.63028,390.9988490484705
391.0219,390.13499727811956
390.17548,391.2198343850719
391.32318,393.7008970278239
393.9083,396.24222839874005
396.4498,403.23340086576593
403.5154,396.02626545615226
395.9405,397.5631180243347
397.71143,399.65745632803424
399.86533,395.1774808678424
395.3415,394.86107004498126
395.10196,399.69261308613
400.0983,400.4057930360708
400.7473,402.9019228608639
403.21878,410.571118519735
410.97345,419.13430031303915
419.56802,415.5181766231982
415.4762,416.13090869286566
416.15146,415.5884901393895
415.6519,417.24085776988625
417.5218,413.629756474059
413.74704,412.4796282449289
412.73712,410.5912080957897
410.88513,406.96503961792143
407.2931,403.70550590305083
404.08084,405.473388595862
406.0531,407.17095777248176
407.76727,405.44325423177986
405.8949,404.96612680048145
405.39166,404.6296264015657
405.06354,406.0258519373655
406.52307,401.1340401680527
401.4306,396.89513962051683
397.23038,400.4007706420572
400.97607,406.33221797219915
407.00455,402.90694525487754
403.24435,397.332087899706
397.51556,391.3152598713316
391.5562,387.2069415681511
387.66684,388.6081894979645
389.24872,394.8861820150496
395.59293,394.9916522893367
395.47778,394.8208908928719
395.18008,390.75275174180075
