High_pred,Low_pred,Close_pred,High,Low,Close
288.09637,282.534,285.46072,298.11,294.0,297.6823176823177
291.37796,285.9883,288.87326,302.18,297.54,299.51048951048955
290.8797,285.46655,288.52798,304.53,300.31,303.72127872127874
285.33978,280.22116,283.0659,307.85,303.71,306.5834165834166
286.23676,280.8443,284.2694,307.22,304.16,306.34365634365633
282.6218,277.8477,280.49304,306.89,299.18,301.29370629370635
284.49753,279.53058,282.67682,304.66,298.97,301.0889110889111
285.15054,280.00565,283.1313,302.92,299.18,302.4975024975025
287.323,282.051,285.18646,306.27,303.34,304.3706293706294
292.3968,286.52002,289.94736,302.81,297.29,297.37262737262745
291.04175,286.04404,288.57568,304.14,296.39,302.6423576423577
294.3652,289.29404,292.3757,307.3,299.23,305.24975024975026
298.50006,292.63983,296.2318,307.04,299.78,303.43656343656346
294.5943,289.40298,292.1273,306.94,303.98,305.6843156843157
295.9113,290.71454,293.85834,306.13,301.26,301.48351648351655
290.61542,285.49054,288.48932,303.11,299.17,300.8741258741259
287.2982,281.39474,285.1462,306.35,300.75,304.4155844155845
287.9699,282.8899,285.58063,313.87,306.82,313.29170829170835
289.44537,284.36407,287.2749,317.73,309.46,310.3596403596404
289.35068,284.6728,287.36655,315.03,297.24,299.0809190809191
289.2457,284.35602,287.34525,306.7,298.88,305.90909090909093
293.61563,288.6715,291.66928,305.76,296.89,299.2807192807193
305.68594,298.47406,302.87292,303.66,297.45,303.5914085914086
304.6052,297.7073,300.45105,304.82,298.32,300.70429570429576
309.287,303.76294,305.89664,299.74,293.04,294.6603396603397
304.3304,299.8084,302.03433,298.45,293.06,296.0589410589411
306.7221,301.918,305.0548,294.84,290.68,293.01698301698303
309.30743,304.73215,307.39972,293.9,288.42,289.3456543456544
320.0748,313.70502,317.45178,285.26,283.11,284.42557442557444
316.50876,311.67175,313.6067,289.16,283.94,288.21678321678326
319.3476,314.16922,317.35825,287.99,282.18,284.14085914085916
314.80783,309.8408,312.65707,289.9,285.73,289.2007992007992
320.37042,314.82898,318.2646,292.85,287.55,288.0369630369631
321.4977,316.2564,319.06415,289.42,286.22,289.14085914085916
322.54828,317.27606,320.27347,291.57,282.29,283.18681318681325
321.06796,315.7421,318.80023,284.09,278.25,281.4935064935065
323.06323,318.08127,320.95013,282.44,278.3,279.4955044955045
320.56186,315.97592,318.65152,281.48,277.22,278.4815184815185
323.89688,318.74738,321.97287,281.21,277.5,281.1988011988012
332.44962,325.572,329.4665,286.03,278.58,284.36063936063937
338.0797,331.16275,334.36603,291.05,285.49,289.6803196803197
335.37375,329.71646,332.28302,288.92,285.68,287.6773226773227
337.63495,332.24014,335.3585,288.84,280.81,281.54845154845157
339.06042,333.4231,336.6077,284.67,281.85,284.67
338.1299,333.0631,335.7355,282.98,277.63,279.3006993006993
335.53232,329.98755,333.1106,282.24,278.7,281.28371628371633
339.3645,333.86514,336.9426,285.92,281.95,283.58641358641364
339.4496,334.27206,337.03915,282.06,277.56,281.09890109890114
334.51886,329.84137,332.43686,288.98,285.03,288.951048951049
335.25897,329.29443,332.9354,290.41,287.17,289.1508491508492
340.77124,335.18982,338.06137,293.11,287.92,292.81718281718287
345.1767,338.7814,342.14343,298.91,293.17,296.8481518481519
342.75757,337.8157,340.13107,295.65,290.32,291.8981018981019
343.90665,338.24207,341.60803,293.2,289.54,291.91308691308694
340.83295,335.5929,338.3335,295.11,288.29,289.7652347652348
344.20035,338.91144,341.97995,287.85,281.42,284.53046953046953
352.4673,345.77795,349.39853,284.9,280.0,284.1758241758242
357.3313,350.61624,353.71893,288.49,283.21,287.18281718281725
351.07916,345.2757,347.97473,288.51,284.82,286.3886113886114
346.22894,340.96402,343.9884,289.25,283.14,287.2877122877123
347.9818,341.8197,345.42673,290.76,286.99,289.2957042957043
356.72534,350.38495,353.6159,298.12,291.91,295.4245754245755
356.47702,350.6757,353.40714,305.33,297.97,304.2707292707293
354.92062,350.0504,352.5668,308.02,298.01,306.6033966033967
360.49573,354.71066,358.07516,307.81,301.04,302.65234765234766
365.2994,358.59723,361.97287,305.54,301.55,302.8621378621379
368.1676,361.71338,364.76025,307.28,303.88,305.53446553446554
370.0149,360.60245,365.2259,316.31,307.6,316.29370629370635
378.94708,371.82596,374.63846,320.1,313.57,314.97002997003005
379.8215,370.7668,375.01923,317.06,312.94,315.3046953046954
381.79944,372.99963,376.7297,318.56,314.51,315.1598401598402
380.02728,373.24475,376.19562,317.82,310.54,313.2017982017982
380.51035,374.67078,377.65723,320.66,316.88,319.4655344655345
384.0157,377.55603,380.90298,323.48,318.42,320.20979020979024
378.79178,372.88156,375.58014,320.93,317.05,319.0759240759241
382.81616,377.12198,380.20682,321.73,318.06,319.91508491508495
386.64822,380.636,383.65884,321.98,319.56,319.975024975025
382.88098,376.70294,379.68466,319.92,316.88,319.80019980019983
380.4459,374.95172,377.82013,328.84,322.13,328.77122877122883
372.8192,366.11255,369.6814,335.17,328.27,333.08191808191816
