predicted,actual
294.07516,285.096648876265
290.34058,288.90864593263916
289.89578,284.81037241748595
288.37646,289.89805755333174
289.60556,288.7278397481471
290.18567,289.8377888251677
290.85815,283.8510951608754
288.5815,282.1485035902419
286.16196,280.13954598477466
283.99194,279.12
282.43375,281.85218234343546
282.85168,285.03135775408737
284.76743,290.3802073786439
288.37155,288.366227379163
289.70703,282.20374992439224
287.31958,285.34241470492987
286.8254,279.9436726182416
284.55283,281.93756304166783
283.90726,284.25288668196885
284.8271,281.7517344631621
284.50446,289.64693785264836
287.5234,289.84783361319506
289.81506,293.53427081922746
292.5357,297.5873427882576
295.86987,292.61015032071253
295.4777,292.6252175027535
294.69168,290.46558807687626
293.27475,285.20211915055205
290.11383,284.84552917558165
288.03708,287.86901037180985
288.4351,287.0704497236366
288.6982,287.9744806460968
289.1958,289.9934830395914
290.37784,296.15596049436226
293.85388,305.0506202925684
300.11212,307.39607829695143
304.9412,303.4233646321399
305.30212,303.634305180714
304.90677,306.32128597802637
305.89197,317.13952268346753
311.76712,315.8085882698455
314.8534,316.1450886687612
316.1043,315.9994392423649
316.3867,314.03066078900696
315.44666,320.32874288214674
317.92374,321.0770795901833
320.01028,319.93699614908064
320.39566,320.7807583433769
320.7618,320.8410270715409
320.97598,320.6652432810625
320.9802,329.6854629296104
325.481,334.01978896340603
330.49396,333.45728083387513
332.62888,336.12919444914655
334.612,338.26873429896915
336.64407,337.4651512567823
337.17676,334.44669245456777
335.65088,338.28882387502387
336.73184,338.09797290250447
337.47382,339.0120486129921
338.25482,334.30104302817136
336.12564,338.3239806331195
336.91605,343.71300940978534
340.50815,340.53885639314717
340.80988,342.2464703577943
341.4264,340.222445570286
340.66415,340.0617289618487
340.07648,349.4184490093123
344.84946,352.798520180511
349.52545,350.10149459517123
350.08508,345.8023253194713
347.46088,345.1494140976945
345.60828,352.74327384636064
349.04214,354.56640287332215
352.22156,354.7170746937322
353.648,358.8705945430357
356.3555,363.49119703561036
360.27722,363.80258546445776
362.2741,366.7406859624536
364.56882,374.45006077343413
370.01648,374.3395681051335
372.58133,376.494175136997
374.56778,378.01596052313846
376.21362,377.01148172040484
376.2588,380.6577397743279
378.28635,378.2620578298082
377.8898,381.01935214331195
379.12958,383.80175842688413
381.46317,383.6008626663374
382.38367,378.68896132097
379.64368,371.7982367342173
374.10785,372.0342892528597
371.8056,375.49974112229074
373.26102,372.1297147391195
372.27103,370.24129458998027
370.4889,372.1046027690511
370.76184,377.508698727758
374.25812,347.213618037312
358.39465,340.59410272729747
346.4425,339.0321381890467
340.95065,339.8759003833429
339.71954,338.34909260318784
338.84027,338.57510033380294
338.55746,337.2692778902492
337.77423,339.85078841327464
338.69778,343.50206886121134
341.25952,343.66780786366235
342.7028,341.18172282689665
341.85983,340.55894596920183
340.86624,333.2463402853011
336.52872,325.818219539086
330.31348,331.1972035277245
330.0347,332.6386306096473
331.40878,329.20833549831195
330.4764,325.94880178344135
328.04208,323.30200013823827
325.36255,323.2618209861289
324.05786,333.7937812327909
328.96,334.6777225791965
332.59583,332.6235634276062
333.01898,333.67324377646287
333.3208,330.25801584716856
331.68292,335.04435734219425
333.17645,341.5383128018671
337.68686,345.656675893075
342.35336,348.90114242590454
346.2227,347.33917788765376
346.9917,345.2247500078995
345.80746,343.6175839235257
344.2057,345.2749739480362
344.36804,341.8095220786052
342.80026,342.41220936024536
342.2214,348.15280571786803
345.1725,348.49432851079735
347.1171,351.07081663980915
349.24445,350.69915948279765
349.9909,360.12619304645267
355.35968,360.27184247284913
358.3512,359.7896926475369
359.06577,360.91470890659866
359.74268,357.5446825234273
358.1384,354.4759997810761
355.49976,354.15958895821495
354.10565,352.8688336967024
352.94586,349.7235092217025
350.73703,353.4112522501785
351.69232,361.36170197381506
356.8921,361.5726425223892
359.7651,368.73457638587985
364.7547,367.1223879074924
366.16992,366.3941407755105
365.93076,368.80991229608486
367.05576,370.4924142906637
368.66544,369.74407758262714
368.95636,361.36170197381506
364.0846,362.20546416811135
362.04065,357.32369718682594
358.73917,355.38505309755004
356.1424,351.9748475622694
353.21558,351.1561973380415
351.47278,370.502459078691
361.6307,376.8708546880222
